"vals","group",".sample"
0.874633068461647,2,1
0.827648109602894,2,1
0.864416676533689,2,1
0.833089947812675,2,1
0.83239590926548,2,1
0.78898364746678,1,1
0.851984983553606,1,1
0.796312901300284,1,1
0.779098232965028,2,1
0.852206198544543,1,1
0.849536375620708,1,1
0.786658749479801,1,1
0.894597065661668,1,1
0.792569518241283,1,1
0.862067974613994,2,1
0.795233655869775,2,1
0.808590939570715,2,1
0.832030283049274,2,1
0.797939902735902,1,1
0.799801387281848,2,1
0.809766928807787,2,1
0.823212386112528,1,1
0.808182770778672,1,1
0.858875283693478,1,1
0.806015945617413,1,1
0.798558954132949,1,1
0.818511617090089,2,1
0.850827102847987,1,1
0.863536634377808,1,1
0.827801973186199,2,1
0.804227687053104,2,1
0.816229462504506,2,1
0.823978156458022,2,1
0.805218383189179,2,1
0.763645975662168,1,1
0.790391336312494,2,1
0.811940825999539,1,1
0.794574044495464,1,1
0.840183055567893,2,1
0.82246860252866,1,1
0.830867212074578,2,1
0.804673264996015,2,1
0.828607430363441,1,1
0.84927911649513,2,1
0.792372850319097,1,1
0.848839159625852,2,1
0.793672389357492,2,1
0.794808593885162,2,1
0.768392812330089,1,1
0.827014385169962,1,1
0.795568728667252,1,1
0.831938270350956,1,1
0.81801700177602,1,1
0.827292937038619,1,1
0.822475266218465,2,1
0.848303445786103,1,1
0.817564351465253,2,1
0.857717083414793,1,1
0.801179804400629,2,1
0.794901315307554,1,1
0.821782886387986,1,1
0.810890932511094,1,1
0.768933902861093,1,1
0.837377449314766,1,1
0.820102970910455,2,1
0.822100871487764,1,1
0.860351819768306,2,1
0.816419192990608,1,1
0.791870400413163,2,1
0.813482661780804,1,1
0.810938954016372,2,1
0.841999772706915,2,1
0.872465181479058,2,1
0.839394641282869,1,1
0.748703489741541,2,1
0.808117204731407,1,1
0.805266731897602,2,1
0.80466242581617,1,1
0.797895670260192,1,1
0.819943957124704,1,1
0.848748076576941,2,1
0.816007769018031,1,1
0.839377976875137,1,1
0.820554340253804,2,1
0.808416868440449,1,1
0.816532200658871,2,1
0.86335219006408,1,1
0.796581205582558,2,1
0.813757784570927,1,1
0.840150774402948,2,1
0.873484778232312,1,1
0.767588168518955,1,1
0.856129562277583,2,1
0.788094725876293,1,1
0.876441339207333,2,1
0.807787930755892,2,1
0.849150151999179,2,1
0.75538457697367,2,1
0.757663503545662,1,1
0.786255039156239,2,1
0.714967273811377,2,1
0.789525257495725,1,1
0.740439191892549,2,1
0.779650400719739,2,1
0.773852100512475,1,1
0.825774204815933,2,1
0.850785218076366,2,1
0.739048947367772,2,1
0.822025606917572,1,1
0.744283594471953,1,1
0.815319205425719,2,1
0.807186734617383,1,1
0.82298151507777,1,1
0.838224288374631,2,1
0.817620817099188,1,1
0.845232585930924,2,1
0.720793462134023,2,1
0.730780195506336,2,1
0.838746603005581,1,1
0.766455641854755,2,1
0.828840089903635,1,1
0.811108915684505,2,1
0.756861726323126,2,1
0.827755548202309,1,1
0.752676049641431,2,1
0.806417253403828,1,1
0.845452758901481,2,1
0.760466894800414,2,1
0.826309692515952,1,1
0.804465668991751,1,1
0.824897140704294,2,1
0.764545317698085,1,1
0.820553261615324,1,1
0.798359142604782,1,1
0.797654308364658,1,1
0.797201238950729,2,1
0.825494739999261,2,1
0.795390965506286,1,1
0.769408129313129,1,1
0.809383402220138,2,1
0.746523212949416,1,1
0.801867951445815,1,1
0.773990106342696,1,1
0.802481672219973,2,1
0.808292974637646,2,1
0.756356407971432,1,1
0.81205130792267,1,1
0.791261738882427,2,1
0.729630074890179,2,1
0.797248711953371,2,1
0.7354411367246,2,1
0.787813709405971,1,1
0.789147748517322,1,1
0.792752311968974,2,1
0.785825332945026,2,1
0.821340282431606,2,1
0.794036713796616,2,1
0.800042651971356,1,1
0.709704497187995,2,1
0.816969617415738,1,1
0.782924610981997,1,1
0.821722765044868,2,1
0.712696968907871,1,1
0.813545700911913,1,1
0.775374764154501,1,1
0.810130511182634,2,1
0.831943251341541,2,1
0.754822115793968,1,1
0.803240957168479,2,1
0.769445398572841,1,1
0.771312862677041,2,1
0.73329823610414,1,1
0.831916528709193,2,1
0.825846508878554,2,1
0.761424513827128,1,1
0.786025005553336,2,1
0.747220115161163,2,1
0.775418979829035,1,1
0.793100576252317,1,1
0.747821193037762,2,1
0.821369869975947,2,1
0.752506712246023,2,1
0.730686175915154,2,1
0.853250974907969,1,1
0.810230783024473,2,1
0.83385847683974,2,1
0.829391064505025,1,1
0.775771297218294,1,1
0.804157380798187,1,1
0.839921529344841,1,1
0.777949347563341,1,1
0.791303589184719,2,1
0.874633068461647,2,2
0.827648109602894,2,2
0.864416676533689,2,2
0.833089947812675,2,2
0.83239590926548,2,2
0.78898364746678,1,2
0.851984983553606,1,2
0.796312901300284,1,2
0.779098232965028,2,2
0.852206198544543,1,2
0.849536375620708,1,2
0.786658749479801,1,2
0.894597065661668,1,2
0.792569518241283,1,2
0.862067974613994,1,2
0.795233655869775,2,2
0.808590939570715,2,2
0.832030283049274,1,2
0.797939902735902,2,2
0.799801387281848,1,2
0.809766928807787,1,2
0.823212386112528,1,2
0.808182770778672,2,2
0.858875283693478,1,2
0.806015945617413,2,2
0.798558954132949,1,2
0.818511617090089,1,2
0.850827102847987,2,2
0.863536634377808,1,2
0.827801973186199,1,2
0.804227687053104,2,2
0.816229462504506,1,2
0.823978156458022,1,2
0.805218383189179,1,2
0.763645975662168,2,2
0.790391336312494,1,2
0.811940825999539,2,2
0.794574044495464,2,2
0.840183055567893,1,2
0.82246860252866,1,2
0.830867212074578,2,2
0.804673264996015,2,2
0.828607430363441,2,2
0.84927911649513,2,2
0.792372850319097,2,2
0.848839159625852,2,2
0.793672389357492,2,2
0.794808593885162,1,2
0.768392812330089,2,2
0.827014385169962,2,2
0.795568728667252,2,2
0.831938270350956,1,2
0.81801700177602,1,2
0.827292937038619,2,2
0.822475266218465,1,2
0.848303445786103,1,2
0.817564351465253,2,2
0.857717083414793,2,2
0.801179804400629,2,2
0.794901315307554,2,2
0.821782886387986,1,2
0.810890932511094,2,2
0.768933902861093,2,2
0.837377449314766,2,2
0.820102970910455,2,2
0.822100871487764,2,2
0.860351819768306,2,2
0.816419192990608,2,2
0.791870400413163,2,2
0.813482661780804,2,2
0.810938954016372,2,2
0.841999772706915,2,2
0.872465181479058,1,2
0.839394641282869,2,2
0.748703489741541,1,2
0.808117204731407,1,2
0.805266731897602,2,2
0.80466242581617,2,2
0.797895670260192,2,2
0.819943957124704,2,2
0.848748076576941,1,2
0.816007769018031,2,2
0.839377976875137,2,2
0.820554340253804,1,2
0.808416868440449,1,2
0.816532200658871,1,2
0.86335219006408,2,2
0.796581205582558,1,2
0.813757784570927,1,2
0.840150774402948,1,2
0.873484778232312,1,2
0.767588168518955,2,2
0.856129562277583,2,2
0.788094725876293,2,2
0.876441339207333,1,2
0.807787930755892,2,2
0.849150151999179,2,2
0.75538457697367,1,2
0.757663503545662,1,2
0.786255039156239,1,2
0.714967273811377,1,2
0.789525257495725,1,2
0.740439191892549,1,2
0.779650400719739,1,2
0.773852100512475,1,2
0.825774204815933,2,2
0.850785218076366,2,2
0.739048947367772,2,2
0.822025606917572,2,2
0.744283594471953,1,2
0.815319205425719,2,2
0.807186734617383,1,2
0.82298151507777,1,2
0.838224288374631,1,2
0.817620817099188,1,2
0.845232585930924,1,2
0.720793462134023,1,2
0.730780195506336,2,2
0.838746603005581,1,2
0.766455641854755,1,2
0.828840089903635,1,2
0.811108915684505,1,2
0.756861726323126,1,2
0.827755548202309,2,2
0.752676049641431,2,2
0.806417253403828,2,2
0.845452758901481,2,2
0.760466894800414,1,2
0.826309692515952,2,2
0.804465668991751,1,2
0.824897140704294,1,2
0.764545317698085,2,2
0.820553261615324,1,2
0.798359142604782,1,2
0.797654308364658,1,2
0.797201238950729,2,2
0.825494739999261,1,2
0.795390965506286,2,2
